article_id,n_chunks,mean_p_ai,median_p_ai,max_p_ai,share_ai_like,mean_words,mean_words_per_sentence
article_1155,11,0.70691115,0.99999815,1.0,0.6363636363636364,77.63636363636364,20.0
article_0825,10,0.70688224,0.99947673,1.0,0.7,46.3,11.575
article_1285,16,0.70673585,0.95670974,1.0,0.6875,46.0,11.5
article_0512,14,0.70610136,0.9471767,1.0,0.5714285714285714,66.71428571428571,16.875
article_1290,27,0.7057122,0.98666084,1.0,0.6296296296296297,50.333333333333336,12.583333333333334
article_1215,15,0.70511836,0.9921362,1.0,0.6666666666666666,60.0,15.0
article_0288,9,0.70502,1.0,1.0,0.6666666666666666,58.333333333333336,15.222222222222221
article_1124,21,0.70396316,0.9642494,1.0,0.5714285714285714,54.76190476190476,13.69047619047619
article_0409,27,0.7030358,0.8139962,1.0,0.5185185185185185,51.2962962962963,12.824074074074074
article_1243,13,0.7027057,0.8699408,1.0,0.5384615384615384,47.46153846153846,11.865384615384615
article_0083,16,0.70260924,0.98991984,1.0,0.625,66.375,16.59375
article_0913,6,0.7024286,0.9814429,1.0,0.6666666666666666,93.16666666666667,23.291666666666668
article_0405,14,0.70153075,0.9826903,1.0,0.6428571428571429,46.285714285714285,11.571428571428571
article_1543,11,0.70036983,0.9959371,1.0,0.6363636363636364,68.54545454545455,17.136363636363637
article_1072,17,0.70028126,0.9088957,1.0,0.5882352941176471,31.41176470588235,7.852941176470588
article_1454,6,0.7000633,0.991948,1.0,0.6666666666666666,63.5,15.944444444444445
article_0299,11,0.69914836,0.90588593,1.0,0.6363636363636364,61.0,15.765151515151514
article_0685,17,0.6991331,0.9405691,1.0,0.5882352941176471,64.23529411764706,16.058823529411764
article_0154,13,0.69845635,0.98694617,1.0,0.6153846153846154,53.46153846153846,13.365384615384615
article_1280,19,0.69842345,0.99938333,1.0,0.631578947368421,59.36842105263158,14.842105263157896
article_0613,11,0.69790494,0.98677415,1.0,0.6363636363636364,86.81818181818181,21.704545454545453
article_0397,24,0.6977885,0.97895986,1.0,0.6666666666666666,64.0,16.0
article_1178,18,0.6976853,0.9316988,1.0,0.5555555555555556,44.72222222222222,11.180555555555555
article_1059,12,0.69765097,0.89246315,1.0,0.5,63.5,15.875
article_0936,12,0.69704264,0.9901628,1.0,0.6666666666666666,67.83333333333333,16.958333333333332
article_1036,20,0.6961957,0.99994695,1.0,0.65,55.1,13.775
article_1548,26,0.69606376,0.9633443,1.0,0.5769230769230769,48.15384615384615,12.102564102564104
article_1533,18,0.69602937,0.90799934,1.0,0.5555555555555556,39.72222222222222,9.972222222222221
article_0210,45,0.6956807,0.9980328,1.0,0.6,69.95555555555555,17.488888888888887
article_1426,15,0.69512385,0.99879473,1.0,0.6666666666666666,41.6,10.4
article_1311,20,0.6945649,0.92895,1.0,0.55,47.5,11.95
article_0757,17,0.6943404,0.87875545,1.0,0.5882352941176471,55.76470588235294,14.024509803921568
article_0642,48,0.69199353,0.98745906,1.0,0.6458333333333334,62.875,15.71875
article_0729,11,0.69190574,0.9609374,0.99999994,0.6363636363636364,90.63636363636364,22.65909090909091
article_1386,20,0.6914006,0.9988031,1.0,0.55,37.9,9.520833333333332
article_1619,31,0.69087595,0.9261318,1.0,0.6451612903225806,58.12903225806452,14.548387096774194
article_0914,17,0.6890205,0.9995275,1.0,0.6470588235294118,35.35294117647059,9.029411764705882
article_1600,9,0.6885488,0.94650614,1.0,0.5555555555555556,66.77777777777777,16.694444444444443
article_0687,19,0.6873451,0.99904186,1.0,0.5789473684210527,56.36842105263158,14.092105263157896
article_0954,12,0.6872573,0.78810275,1.0,0.5,82.16666666666667,20.541666666666668
article_1325,18,0.6865599,0.996579,1.0,0.6666666666666666,41.77777777777778,10.444444444444445
article_1571,14,0.6862706,0.9999999,1.0,0.6428571428571429,43.857142857142854,10.964285714285714
article_0931,14,0.6854915,0.9014147,1.0,0.6428571428571429,60.214285714285715,15.202380952380953
article_0622,19,0.68500185,0.84743047,1.0,0.5789473684210527,65.10526315789474,16.276315789473685
article_0750,14,0.6847411,0.89103997,1.0,0.5714285714285714,82.28571428571429,20.571428571428573
article_1176,27,0.68364763,0.99616987,1.0,0.6296296296296297,56.629629629629626,14.157407407407407
article_0558,14,0.6834083,0.9999392,1.0,0.6428571428571429,58.07142857142857,14.517857142857142
article_0822,9,0.6829517,0.9957042,1.0,0.6666666666666666,55.888888888888886,13.972222222222221
article_1303,13,0.68264955,0.87672025,1.0,0.5384615384615384,69.23076923076923,17.307692307692307
article_0153,13,0.6819543,0.90086234,1.0,0.6153846153846154,53.23076923076923,13.307692307692308
article_0534,19,0.68182343,0.9907791,1.0,0.5789473684210527,43.89473684210526,10.973684210526315
article_0003,26,0.68136877,0.9591621,1.0,0.6153846153846154,34.73076923076923,8.76602564102564
article_0142,12,0.6812343,1.0,1.0,0.6666666666666666,46.583333333333336,11.645833333333334
article_1501,12,0.68083256,0.9991566,1.0,0.5833333333333334,48.666666666666664,12.166666666666666
article_0459,7,0.6807123,0.8602216,1.0,0.5714285714285714,46.857142857142854,11.714285714285714
article_1214,18,0.68038493,0.98969555,1.0,0.5555555555555556,71.55555555555556,17.935185185185183
article_1282,12,0.6776095,0.96131164,1.0,0.5833333333333334,49.916666666666664,12.986111111111112
article_1188,21,0.6764264,0.91182446,1.0,0.5714285714285714,71.57142857142857,17.892857142857142
article_0374,19,0.6763686,0.97802955,1.0,0.5789473684210527,55.421052631578945,13.855263157894736
article_0818,16,0.6761018,0.984497,1.0,0.625,42.9375,10.734375
article_1162,18,0.67581904,0.99960005,1.0,0.6111111111111112,52.833333333333336,13.24537037037037
